"Step","stellar-cloud-1 - train/loss","stellar-cloud-1 - train/loss__MIN","stellar-cloud-1 - train/loss__MAX"
"323","1.9231","1.9231","1.9231"
"324","1.8638","1.8638","1.8638"
"325","1.8426","1.8426","1.8426"
"326","1.4843","1.4843","1.4843"
"327","2.0628","2.0628","2.0628"
"328","1.8122","1.8122","1.8122"
"329","2.102","2.102","2.102"
"330","1.4467","1.4467","1.4467"
"331","1.7545","1.7545","1.7545"
"332","1.592","1.592","1.592"
"333","1.9871","1.9871","1.9871"
"334","1.2595","1.2595","1.2595"
"335","2.018","2.018","2.018"
"336","1.8296","1.8296","1.8296"
"337","1.772","1.772","1.772"
"338","1.7261","1.7261","1.7261"
"339","1.2604","1.2604","1.2604"
"340","1.7827","1.7827","1.7827"
"341","1.7964","1.7964","1.7964"
"342","2.1429","2.1429","2.1429"
"343","1.8467","1.8467","1.8467"
"344","1.5727","1.5727","1.5727"
"345","1.3643","1.3643","1.3643"
"346","1.8901","1.8901","1.8901"
"347","2.3657","2.3657","2.3657"
"348","2.3758","2.3758","2.3758"
"349","1.7825","1.7825","1.7825"
"350","1.6244","1.6244","1.6244"
"351","1.6752","1.6752","1.6752"
"352","1.4939","1.4939","1.4939"
"353","1.3885","1.3885","1.3885"
"354","1.3779","1.3779","1.3779"
"355","1.4334","1.4334","1.4334"
"356","1.3808","1.3808","1.3808"
"357","1.4375","1.4375","1.4375"
"358","1.2383","1.2383","1.2383"
"359","1.8049","1.8049","1.8049"
"360","1.4304","1.4304","1.4304"
"361","1.7242","1.7242","1.7242"
"362","1.4041","1.4041","1.4041"
"363","1.6695","1.6695","1.6695"
"364","1.7477","1.7477","1.7477"
"365","1.81","1.81","1.81"
"366","1.3188","1.3188","1.3188"
"367","1.4225","1.4225","1.4225"
"368","1.76","1.76","1.76"
"369","1.3044","1.3044","1.3044"
"370","1.8875","1.8875","1.8875"
"371","1.6011","1.6011","1.6011"
"372","1.6501","1.6501","1.6501"
"373","1.7133","1.7133","1.7133"
"374","1.3902","1.3902","1.3902"
"375","1.5242","1.5242","1.5242"
"376","2.3074","2.3074","2.3074"
"377","1.7469","1.7469","1.7469"
"378","1.3538","1.3538","1.3538"
"379","1.5737","1.5737","1.5737"
"380","1.6941","1.6941","1.6941"
"381","1.3527","1.3527","1.3527"
"382","1.7062","1.7062","1.7062"
"383","1.3501","1.3501","1.3501"
"384","1.4957","1.4957","1.4957"
"385","1.3035","1.3035","1.3035"
"386","1.7204","1.7204","1.7204"
"387","1.7472","1.7472","1.7472"
"388","1.5801","1.5801","1.5801"
"389","1.5371","1.5371","1.5371"
"390","2.2403","2.2403","2.2403"
"391","1.3991","1.3991","1.3991"
"392","1.3315","1.3315","1.3315"
"393","1.6753","1.6753","1.6753"
"394","1.4234","1.4234","1.4234"
"395","1.3418","1.3418","1.3418"
"396","1.4735","1.4735","1.4735"
"397","1.5124","1.5124","1.5124"
"398","2.29","2.29","2.29"
"399","1.652","1.652","1.652"
"400","1.4827","1.4827","1.4827"
"401","1.5921","1.5921","1.5921"
"402","1.5703","1.5703","1.5703"
"403","2.2095","2.2095","2.2095"
"404","1.375","1.375","1.375"
"405","2.5079","2.5079","2.5079"
"406","1.5285","1.5285","1.5285"
"407","1.5141","1.5141","1.5141"
"408","1.2769","1.2769","1.2769"
"409","1.5286","1.5286","1.5286"
"410","1.5695","1.5695","1.5695"
"411","1.81","1.81","1.81"
"412","1.2346","1.2346","1.2346"
"413","1.4742","1.4742","1.4742"
"414","1.1839","1.1839","1.1839"
"415","1.7324","1.7324","1.7324"
"416","1.3883","1.3883","1.3883"
"417","1.7483","1.7483","1.7483"
"418","1.8957","1.8957","1.8957"
"419","1.442","1.442","1.442"
"420","1.5479","1.5479","1.5479"
"421","1.4789","1.4789","1.4789"
"422","2.0203","2.0203","2.0203"
"423","1.1324","1.1324","1.1324"
"424","1.8081","1.8081","1.8081"
"425","1.1172","1.1172","1.1172"
"426","2.1346","2.1346","2.1346"
"427","1.2388","1.2388","1.2388"
"428","1.448","1.448","1.448"
"429","1.6558","1.6558","1.6558"
"430","1.6159","1.6159","1.6159"
"431","1.4813","1.4813","1.4813"
"432","1.5947","1.5947","1.5947"
"433","1.8169","1.8169","1.8169"
"434","1.5703","1.5703","1.5703"
"435","1.5135","1.5135","1.5135"
"436","1.413","1.413","1.413"
"437","1.7644","1.7644","1.7644"
"438","1.5279","1.5279","1.5279"
"439","1.9055","1.9055","1.9055"
"440","1.4716","1.4716","1.4716"
"441","1.5916","1.5916","1.5916"
"442","1.8594","1.8594","1.8594"
"443","1.9109","1.9109","1.9109"
"444","1.6913","1.6913","1.6913"
"445","2.0589","2.0589","2.0589"
"446","1.3156","1.3156","1.3156"
"447","1.4467","1.4467","1.4467"
"448","1.2233","1.2233","1.2233"
"449","1.2154","1.2154","1.2154"
"450","1.9943","1.9943","1.9943"
"451","1.6051","1.6051","1.6051"
"452","1.1619","1.1619","1.1619"
"453","1.8052","1.8052","1.8052"
"454","1.2374","1.2374","1.2374"
"455","1.4181","1.4181","1.4181"
"456","1.9156","1.9156","1.9156"
"457","1.5062","1.5062","1.5062"
"458","1.1712","1.1712","1.1712"
"459","1.7773","1.7773","1.7773"
"460","1.2441","1.2441","1.2441"
"461","1.8977","1.8977","1.8977"
"462","1.3545","1.3545","1.3545"
"463","1.4551","1.4551","1.4551"
"464","1.4918","1.4918","1.4918"
"465","1.7563","1.7563","1.7563"
"466","2.1019","2.1019","2.1019"
"467","1.433","1.433","1.433"
"468","1.4841","1.4841","1.4841"
"469","1.4139","1.4139","1.4139"
"470","1.4172","1.4172","1.4172"
"471","1.6022","1.6022","1.6022"
