"Step","solar-firebrand-9 - train/loss","solar-firebrand-9 - train/loss__MIN","solar-firebrand-9 - train/loss__MAX"
"467","1.5881","1.5881","1.5881"
"468","1.8803","1.8803","1.8803"
"469","1.3339","1.3339","1.3339"
"470","2.0609","2.0609","2.0609"
"471","1.45","1.45","1.45"
"472","1.7448","1.7448","1.7448"
"473","1.5523","1.5523","1.5523"
"474","1.5065","1.5065","1.5065"
"475","1.6897","1.6897","1.6897"
"476","1.5825","1.5825","1.5825"
"477","1.2999","1.2999","1.2999"
"478","1.5881","1.5881","1.5881"
"479","2.0082","2.0082","2.0082"
"480","1.5148","1.5148","1.5148"
"481","1.3847","1.3847","1.3847"
"482","1.3015","1.3015","1.3015"
"483","1.7169","1.7169","1.7169"
"484","1.4813","1.4813","1.4813"
"485","1.31","1.31","1.31"
"486","1.4018","1.4018","1.4018"
"487","1.4348","1.4348","1.4348"
"488","1.3546","1.3546","1.3546"
"489","1.5","1.5","1.5"
"490","1.5269","1.5269","1.5269"
"491","1.3921","1.3921","1.3921"
"492","1.279","1.279","1.279"
"493","1.5983","1.5983","1.5983"
"494","1.5168","1.5168","1.5168"
"495","1.7112","1.7112","1.7112"
"496","1.598","1.598","1.598"
"497","1.813","1.813","1.813"
"498","1.4043","1.4043","1.4043"
"499","1.8224","1.8224","1.8224"
"500","1.257","1.257","1.257"
"501","1.2565","1.2565","1.2565"
"502","1.2101","1.2101","1.2101"
"503","1.1767","1.1767","1.1767"
"504","1.3747","1.3747","1.3747"
"505","1.529","1.529","1.529"
"506","1.7657","1.7657","1.7657"
"507","1.5194","1.5194","1.5194"
"508","1.6422","1.6422","1.6422"
"509","1.3291","1.3291","1.3291"
"510","1.4634","1.4634","1.4634"
"511","1.5166","1.5166","1.5166"
"512","1.679","1.679","1.679"
"513","1.4231","1.4231","1.4231"
"514","1.656","1.656","1.656"
"515","1.7","1.7","1.7"
"516","1.5929","1.5929","1.5929"
"517","1.2433","1.2433","1.2433"
"518","1.2826","1.2826","1.2826"
"519","1.4099","1.4099","1.4099"
"520","1.6234","1.6234","1.6234"
"521","1.3184","1.3184","1.3184"
"522","1.2948","1.2948","1.2948"
"523","1.6189","1.6189","1.6189"
"524","1.7427","1.7427","1.7427"
"525","1.3676","1.3676","1.3676"
"526","1.4483","1.4483","1.4483"
"527","2.0798","2.0798","2.0798"
"528","1.6062","1.6062","1.6062"
"529","1.4646","1.4646","1.4646"
"530","1.6029","1.6029","1.6029"
"531","1.5649","1.5649","1.5649"
"532","1.157","1.157","1.157"
"533","1.4783","1.4783","1.4783"
"534","1.3403","1.3403","1.3403"
"535","1.8449","1.8449","1.8449"
"536","1.4661","1.4661","1.4661"
"537","1.5213","1.5213","1.5213"
"538","1.2613","1.2613","1.2613"
"539","1.635","1.635","1.635"
"540","1.6186","1.6186","1.6186"
"541","1.3634","1.3634","1.3634"
"542","1.8734","1.8734","1.8734"
"543","1.2575","1.2575","1.2575"
"544","1.7701","1.7701","1.7701"
"545","1.145","1.145","1.145"
"546","1.2387","1.2387","1.2387"
"547","1.3921","1.3921","1.3921"
"548","1.3619","1.3619","1.3619"
"549","1.1169","1.1169","1.1169"
"550","1.3187","1.3187","1.3187"
"551","1.4089","1.4089","1.4089"
"552","1.4547","1.4547","1.4547"
"553","1.3911","1.3911","1.3911"
"554","1.5443","1.5443","1.5443"
"555","1.4416","1.4416","1.4416"
"556","1.7572","1.7572","1.7572"
"557","1.3901","1.3901","1.3901"
"558","1.4564","1.4564","1.4564"
"559","1.2321","1.2321","1.2321"
"560","1.4781","1.4781","1.4781"
"561","1.5016","1.5016","1.5016"
"562","1.8005","1.8005","1.8005"
"563","1.334","1.334","1.334"
"564","1.8267","1.8267","1.8267"
"565","1.8014","1.8014","1.8014"
"566","1.5041","1.5041","1.5041"
"567","1.1535","1.1535","1.1535"
"568","1.493","1.493","1.493"
"569","1.4963","1.4963","1.4963"
"570","1.7163","1.7163","1.7163"
"571","1.645","1.645","1.645"
"572","1.4827","1.4827","1.4827"
"573","1.495","1.495","1.495"
"574","1.8238","1.8238","1.8238"
"575","1.4981","1.4981","1.4981"
"576","1.876","1.876","1.876"
"577","1.4671","1.4671","1.4671"
"578","1.3585","1.3585","1.3585"
"579","1.3237","1.3237","1.3237"
"580","1.4448","1.4448","1.4448"
"581","1.5113","1.5113","1.5113"
"582","1.6572","1.6572","1.6572"
"583","1.5206","1.5206","1.5206"
"584","1.2819","1.2819","1.2819"
"585","2.0488","2.0488","2.0488"
"586","1.7417","1.7417","1.7417"
"587","1.4519","1.4519","1.4519"
"588","1.4865","1.4865","1.4865"
"589","1.4959","1.4959","1.4959"
"590","1.4806","1.4806","1.4806"
"591","1.1081","1.1081","1.1081"
"592","1.9706","1.9706","1.9706"
"593","1.3714","1.3714","1.3714"
"594","1.5829","1.5829","1.5829"
"595","1.2584","1.2584","1.2584"
"596","1.5874","1.5874","1.5874"
"597","1.6428","1.6428","1.6428"
"598","1.1586","1.1586","1.1586"
"599","1.2041","1.2041","1.2041"
"600","1.452","1.452","1.452"
"601","1.8442","1.8442","1.8442"
"602","1.5819","1.5819","1.5819"
"603","1.618","1.618","1.618"
"604","1.5703","1.5703","1.5703"
"605","1.3559","1.3559","1.3559"
"606","1.5125","1.5125","1.5125"
"607","1.5422","1.5422","1.5422"
"608","1.3374","1.3374","1.3374"
"609","1.2752","1.2752","1.2752"
"610","1.7923","1.7923","1.7923"
"611","1.5548","1.5548","1.5548"
"612","1.6621","1.6621","1.6621"
"613","1.6442","1.6442","1.6442"
"614","1.2599","1.2599","1.2599"
"615","1.4796","1.4796","1.4796"
"616","1.5784","1.5784","1.5784"
"617","1.4155","1.4155","1.4155"
"618","1.3685","1.3685","1.3685"
"619","1.4905","1.4905","1.4905"
"620","1.7013","1.7013","1.7013"
"621","1.5667","1.5667","1.5667"
"622","1.9513","1.9513","1.9513"
"623","1.2185","1.2185","1.2185"
"624","1.7348","1.7348","1.7348"
"625","1.4645","1.4645","1.4645"
"626","1.7052","1.7052","1.7052"
"627","2.0477","2.0477","2.0477"
"628","1.6833","1.6833","1.6833"
"629","1.5215","1.5215","1.5215"
"630","1.7479","1.7479","1.7479"
"631","1.3451","1.3451","1.3451"
"632","1.4963","1.4963","1.4963"
"633","1.4589","1.4589","1.4589"
"634","1.6202","1.6202","1.6202"
"635","1.458","1.458","1.458"
"636","1.8991","1.8991","1.8991"
"637","1.4452","1.4452","1.4452"
"638","1.9173","1.9173","1.9173"
"639","1.1809","1.1809","1.1809"
"640","1.2807","1.2807","1.2807"
"641","1.3718","1.3718","1.3718"
"642","1.3272","1.3272","1.3272"
"643","1.6045","1.6045","1.6045"
"644","1.7768","1.7768","1.7768"
"645","1.7751","1.7751","1.7751"
"646","1.2147","1.2147","1.2147"
"647","1.4494","1.4494","1.4494"
"648","1.5382","1.5382","1.5382"
"649","1.6369","1.6369","1.6369"
"650","1.6959","1.6959","1.6959"
"651","1.3431","1.3431","1.3431"
"652","1.4456","1.4456","1.4456"
"653","1.2558","1.2558","1.2558"
"654","1.4926","1.4926","1.4926"
"655","1.4973","1.4973","1.4973"
"656","1.1855","1.1855","1.1855"
"657","1.3706","1.3706","1.3706"
"658","1.4877","1.4877","1.4877"
"659","1.4936","1.4936","1.4936"
"660","1.36","1.36","1.36"
"661","1.4884","1.4884","1.4884"
"662","1.9024","1.9024","1.9024"
"663","1.9057","1.9057","1.9057"
"664","1.3818","1.3818","1.3818"
"665","1.8867","1.8867","1.8867"
"666","1.4276","1.4276","1.4276"
"667","1.5387","1.5387","1.5387"
"668","1.1809","1.1809","1.1809"
"669","1.5012","1.5012","1.5012"
"670","1.3233","1.3233","1.3233"
"671","1.2443","1.2443","1.2443"
"672","1.3163","1.3163","1.3163"
"673","1.6475","1.6475","1.6475"
"674","1.792","1.792","1.792"
"675","1.6462","1.6462","1.6462"
"676","1.9914","1.9914","1.9914"
"677","1.6038","1.6038","1.6038"
"678","1.5158","1.5158","1.5158"
"679","1.3595","1.3595","1.3595"
"680","1.5821","1.5821","1.5821"
"681","1.4743","1.4743","1.4743"
"682","1.6025","1.6025","1.6025"
"683","1.2664","1.2664","1.2664"
"684","2.108","2.108","2.108"
"685","1.3043","1.3043","1.3043"
"686","1.0867","1.0867","1.0867"
"687","1.7387","1.7387","1.7387"
