Wall time,Step,Value
1701929477.0506272,10063,2.0178654193878174
1701929482.3515527,10090,2.382678270339966
1701929488.086383,10121,1.7299668788909912
1701929501.3494728,10191,2.330353021621704
1701929547.4071405,10445,2.1650760173797607
1701929560.316157,10518,2.2912521362304688
1701929583.0554507,10643,2.142935037612915
1701929583.5157347,10645,3.8052170276641846
1701929594.7246456,10707,2.627290964126587
1701929653.9801843,11023,2.096578359603882
1701929671.4400077,11118,1.9184454679489136
1701929800.0492857,11819,2.3017055988311768
1701929808.8547437,11867,1.6297544240951538
1701929839.2405703,12027,1.9359502792358398
1701929848.4395053,12076,2.3682315349578857
1701929892.484738,12316,1.906174659729004
1701929899.2847402,12354,1.621728539466858
1701929907.3627896,12398,2.4178619384765625
1701929922.0440962,12476,2.075692653656006
1701930000.2726667,12905,1.687562108039856
1701930007.3670297,12944,2.1923320293426514
1701930073.8166363,13304,3.09511661529541
1701930090.0699308,13388,2.4708375930786133
1701930114.289636,13522,2.5431387424468994
1701930119.5011728,13550,2.657910108566284
1701930134.1348498,13623,1.9752726554870605
1701930137.819027,13642,2.1591691970825195
1701930138.597127,13647,3.616133451461792
1701930167.186077,13802,2.9887917041778564
1701930175.7076757,13849,2.410283088684082
1701930197.5752616,13971,3.1086766719818115
1701930212.1153483,14046,3.8697121143341064
1701930239.3351176,14188,2.2957637310028076
1701930253.4372387,14265,1.934063196182251
1701930270.8395872,14361,2.274822473526001
1701930323.006442,14645,2.203317165374756
1701930340.8369224,14745,2.1704041957855225
1701930360.1074255,14851,1.6878654956817627
1701930362.464081,14864,2.826000928878784
1701930399.394971,15065,2.172992706298828
1701930400.230497,15070,2.221299648284912
1701930421.431647,15185,1.6862223148345947
1701930455.2788603,15371,2.585334539413452
1701930498.1586199,15610,2.5787949562072754
1701930613.6982455,16241,2.5005054473876953
1701930641.8911583,16392,1.7297700643539429
1701930721.5503461,16834,2.6040914058685303
1701930727.2765357,16866,2.5625414848327637
1701930730.1992674,16883,2.4598872661590576
1701930734.551753,16907,2.216771125793457
1701930741.686588,16947,2.5039455890655518
1701930956.3431797,18121,2.097709894180298
1701930957.7757204,18129,2.5163633823394775
1701930959.251126,18137,2.989166736602783
1701931008.6568866,18405,1.6019262075424194
1701931022.4147005,18481,2.295992612838745
1701931072.3141186,18759,2.3728699684143066
1701931073.5129738,18765,2.0449235439300537
1701931078.966563,18795,2.055356025695801
1701931137.155773,19109,2.039229393005371
1701931155.4847314,19209,2.3135104179382324
1701931175.500254,19319,2.1367955207824707
1701931185.900075,19377,2.3419010639190674
1701931208.7350707,19501,2.280303716659546
1701931216.8673,19546,1.9242957830429077
1701931229.4881144,19617,2.1410975456237793
1701931270.3844883,19841,2.677755355834961
1701931298.9655309,19999,1.5361950397491455
1701931406.050104,20578,3.002659797668457
1701931413.558676,20618,1.8569146394729614
1701931418.5706291,20646,1.8867849111557007
1701931453.9512825,20841,2.2988333702087402
1701931476.669308,20968,1.9058589935302734
1701931490.0965679,21036,3.4802539348602295
